state,district,school,ap,type,total,American Indian/Alaska Native,Asian,Black,Hispanic,Native Hawaiian/Pacific Islander,Two or More Races,White
ALABAMA,Huntsville City,New Century Tech Demo High Sch,Yes,total,413,2,13,151,37,4,28,178
ALABAMA,Huntsville City,Virgil Grissom High Sch,Yes,ap,574,2,37,40,34,0,31,430
ALABAMA,Huntsville City,Virgil Grissom High Sch,Yes,total,1795,10,67,319,175,4,97,1123
ALABAMA,Jackson County,North Jackson High Sch,No,total,439,16,0,46,25,2,4,346
ALABAMA,Jackson County,North Sand Mt Sch,No,total,700,142,0,2,19,2,0,535
ALABAMA,Jackson County,Paint Rock Valley High Sch,No,total,96,4,0,0,0,0,4,88
ALABAMA,Jackson County,Pisgah High Sch,No,total,617,130,4,2,4,0,2,475
ALABAMA,Jackson County,Section High Sch,Yes,ap,12,2,0,0,0,0,0,10
ALABAMA,Jackson County,Section High Sch,Yes,total,552,103,0,2,16,0,16,415
ALABAMA,Jackson County,Skyline High Sch,No,total,462,100,0,0,19,0,0,343
ALABAMA,Jackson County,Woodville High Sch,No,total,505,16,2,7,19,2,2,457
ALABAMA,Jacksonville City,Jacksonville High Sch,Yes,ap,78,0,2,16,2,0,0,58
